"PLAYER, TEAM POS",team_abbr,week_2_opp,week_2_proj,week_2_actual,week_3_opp,week_3_proj
Jets D/ST D/ST,NYJ,Mia,4.9,10,Cle,5.2
Vikings D/ST D/ST,Min,GB,6.4,2,Buf,13.2
Ravens D/ST D/ST,Bal,Cin,6.1,-2,Den,6.7
Rams D/ST D/ST,LAR,Ari,7.6,11,LAC,6.8
Bears D/ST D/ST,Chi,Sea,5.9,19,Ari,6.5
Panthers D/ST D/ST,Car,Atl,5.1,-2,Cin,6.6
Jaguars D/ST D/ST,Jac,NE,5.7,4,Ten,8.7
Broncos D/ST D/ST,Den,Oak,5.7,2,Bal,5.9
Dolphins D/ST D/ST,Mia,NYJ,7.1,11,Oak,5
Redskins D/ST D/ST,Wsh,Ind,5.8,7,GB,6.1
Bengals D/ST D/ST,Cin,Bal,5.5,7,Car,6.2
Browns D/ST D/ST,Cle,NO,5,9,NYJ,7.4
Titans D/ST D/ST,Ten,Hou,7,4,Jax,5.2
Eagles D/ST D/ST,Phi,TB,6.4,3,Ind,7
Steelers D/ST D/ST,Pit,KC,6.4,-1,TB,5.5
Lions D/ST D/ST,Det,SF,5.6,5,NE,1.5
Packers D/ST D/ST,GB,Min,5.7,6,Wsh,4.5
Falcons D/ST D/ST,Atl,Car,6.4,1,NO,4.1
Cowboys D/ST D/ST,Dal,NYG,6.5,13,Sea,6.5
Patriots D/ST D/ST,NE,Jax,4.8,-2,Det,5.1
Texans D/ST D/ST,Hou,Ten,7.2,3,NYG,7.8
Colts D/ST D/ST,Ind,Wsh,2.9,8,Phi,4
49ers D/ST D/ST,SF,Det,4.9,1,KC,4.6
Chiefs D/ST D/ST,KC,Pit,3.4,-7,SF,6.2
Giants D/ST D/ST,NYG,Dal,5.8,2,Hou,5.4
Buccaneers D/ST D/ST,TB,Phi,5.1,4,Pit,3.6
Cardinals D/ST D/ST,Ari,LAR,5.4,0,Chi,7
Seahawks D/ST D/ST,Sea,Chi,6,8,Dal,4.7
Raiders D/ST D/ST,Oak,Den,4.9,2,Mia,5
Bills D/ST D/ST,Buf,LAC,4.5,1,Min,5
Chargers D/ST D/ST,LAC,Buf,9.9,11,LAR,4.2
Saints D/ST D/ST,NO,Cle,6.2,5,Atl,4.3
