"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28179-42104","RB","Alvin","Alvin Kamara","Kamara","38.599998474121094","1","9000","CLE@NO","NO","CLE","","","","",""
"28179-11612","WR","Antonio","Antonio Brown","Brown","19.799999237060547","1","8900","KC@PIT","PIT","KC","","","","",""
"28179-30447","RB","Todd","Todd Gurley II","Gurley II","22.200000762939453","1","8900","ARI@LAR","LAR","ARI","","","","",""
"28179-6504","QB","Drew","Drew Brees","Brees","31.559999465942383","1","8800","CLE@NO","NO","CLE","","","","",""
"28179-28573","WR","Michael","Michael Thomas","Thomas","30","1","8800","CLE@NO","NO","CLE","","","","",""
"28179-6894","QB","Aaron","Aaron Rodgers","Rodgers","24.940000534057617","1","8700","MIN@GB","GB","MIN","Q","Knee","","",""
"28179-6498","QB","Tom","Tom Brady","Brady","22.280000686645508","1","8500","NE@JAC","NE","JAC","","","","",""
"28179-14190","WR","Julio","Julio Jones","Jones","23","1","8500","CAR@ATL","ATL","CAR","","","","",""
"28179-62497","RB","David","David Johnson","Johnson","15.199999809265137","1","8400","ARI@LAR","ARI","LAR","","","","",""
"28179-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","11.100000381469727","1","8400","HOU@TEN","HOU","TEN","","","","",""
"28179-28181","RB","Le'Veon","Le'Veon Bell","Bell","19.940000406901042","15","8400","KC@PIT","PIT","KC","O","Contract dispute","","",""
"28179-14187","WR","A.J.","A.J. Green","Green","16.200000762939453","1","8400","BAL@CIN","CIN","BAL","","","","",""
"28179-28900","RB","Melvin","Melvin Gordon III","Gordon III","23.100000381469727","1","8200","LAC@BUF","LAC","BUF","","","","",""
"28179-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","16.5","1","8200","NYG@DAL","NYG","DAL","","","","",""
"28179-14185","QB","Cam","Cam Newton","Newton","18.239999771118164","1","8200","CAR@ATL","CAR","ATL","","","","",""
"28179-11460","TE","Rob","Rob Gronkowski","Gronkowski","19.799999237060547","1","8100","NE@JAC","NE","JAC","","","","",""
"28179-53681","WR","Tyreek","Tyreek Hill","Hill","38.79999923706055","1","8100","KC@PIT","KC","PIT","","","","",""
"28179-45889","WR","Davante","Davante Adams","Adams","17.299999237060547","1","8100","MIN@GB","GB","MIN","","","","",""
"28179-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","16.100000381469727","1","8100","NYG@DAL","DAL","NYG","","","","",""
"28179-29253","WR","Keenan","Keenan Allen","Allen","20.799999237060547","1","8000","LAC@BUF","LAC","BUF","","","","",""
"28179-32384","WR","Mike","Mike Evans","Evans","24.200000762939453","1","7900","PHI@TB","TB","PHI","","","","",""
"28179-64401","RB","Saquon","Saquon Barkley","Barkley","19.799999237060547","1","7900","NYG@DAL","NYG","DAL","","","","",""
"28179-45229","RB","Kareem","Kareem Hunt","Hunt","4.900000095367432","1","7800","KC@PIT","KC","PIT","","","","",""
"28179-22015","QB","Russell","Russell Wilson","Wilson","22.420000076293945","1","7800","SEA@CHI","SEA","CHI","","","","",""
"28179-6654","QB","Matthew","Matthew Stafford","Stafford","12.039999961853027","1","7700","DET@SF","DET","SF","","","","",""
"28179-52922","RB","Leonard","Leonard Fournette","Fournette","7","1","7700","NE@JAC","JAC","NE","Q","Hamstring","","",""
"28179-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","12","1","7600","KC@PIT","PIT","KC","Q","Elbow","","",""
"28179-39716","WR","Adam","Adam Thielen","Thielen","13.199999809265137","1","7600","MIN@GB","MIN","GB","","","","",""
"28179-57439","QB","Patrick","Patrick Mahomes","Mahomes","28.34000015258789","1","7500","KC@PIT","KC","PIT","","","","",""
"28179-21939","QB","Andrew","Andrew Luck","Luck","20.459999084472656","1","7500","IND@WAS","IND","WAS","","","","",""
"28179-22038","QB","Kirk","Kirk Cousins","Cousins","20.360000610351562","1","7500","MIN@GB","MIN","GB","","","","",""
"28179-42142","RB","Jordan","Jordan Howard","Howard","13.199999809265137","1","7400","SEA@CHI","CHI","SEA","","","","",""
"28179-25079","WR","Stefon","Stefon Diggs","Diggs","12.600000381469727","1","7400","MIN@GB","MIN","GB","","","","",""
"28179-38435","QB","Jared","Jared Goff","Goff","17.219999313354492","1","7400","ARI@LAR","LAR","ARI","","","","",""
"28179-54879","QB","Deshaun","Deshaun Watson","Watson","12.039999961853027","1","7400","HOU@TEN","HOU","TEN","","","","",""
"28179-70324","QB","Carson","Carson Wentz","Wentz","22.210768479567307","13","7400","PHI@TB","PHI","TB","D","Knee - acl","","",""
"28179-55050","RB","Christian","Christian McCaffrey","McCaffrey","10.5","1","7400","CAR@ATL","CAR","ATL","","","","",""
"28179-7968","QB","Philip","Philip Rivers","Rivers","29.959999084472656","1","7400","LAC@BUF","LAC","BUF","","","","",""
"28179-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","12.039999961853027","1","7300","DET@SF","SF","DET","","","","",""
"28179-22027","QB","Nick","Nick Foles","Foles","5.579999923706055","1","7300","PHI@TB","PHI","TB","","","","",""
"28179-14626","WR","Doug","Doug Baldwin","Baldwin","0","1","7200","SEA@CHI","SEA","CHI","D","Knee","","",""
"28179-22031","WR","T.Y.","T.Y. Hilton","Hilton","13.100000381469727","1","7200","IND@WAS","IND","WAS","","","","",""
"28179-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","14.399999618530273","1","7200","KC@PIT","PIT","KC","","","","",""
"28179-52442","RB","Joe","Joe Mixon","Mixon","23.399999618530273","1","7100","BAL@CIN","CIN","BAL","","","","",""
"28179-11485","WR","Golden","Golden Tate","Tate","17.399999618530273","1","7100","DET@SF","DET","SF","","","","",""
"28179-6616","QB","Matt","Matt Ryan","Ryan","9.84000015258789","1","7100","CAR@ATL","ATL","CAR","","","","",""
"28179-6883","WR","Larry","Larry Fitzgerald","Fitzgerald","11.100000381469727","1","7100","ARI@LAR","ARI","LAR","","","","",""
"28179-8005","QB","Alex","Alex Smith","Smith","19.600000381469727","1","7100","IND@WAS","WAS","IND","","","","",""
"28179-11432","WR","Demaryius","Demaryius Thomas","Thomas","15.300000190734863","1","7000","OAK@DEN","DEN","OAK","","","","",""
"28179-29358","QB","Marcus","Marcus Mariota","Mariota","3.619999885559082","1","7000","HOU@TEN","TEN","HOU","Q","Elbow","","",""
"28179-40687","RB","James","James Conner","Conner","31.700000762939453","1","7000","KC@PIT","PIT","KC","","","","",""
"28179-29501","WR","Brandin","Brandin Cooks","Cooks","11.800000190734863","1","7000","ARI@LAR","LAR","ARI","","","","",""
"28179-31001","WR","Amari","Amari Cooper","Cooper","2.299999952316284","1","6900","OAK@DEN","OAK","DEN","","","","",""
"28179-14225","QB","Andy","Andy Dalton","Dalton","17.520000457763672","1","6900","BAL@CIN","CIN","BAL","","","","",""
"28179-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","24.5","1","6800","OAK@DEN","DEN","OAK","","","","",""
"28179-33076","TE","Travis","Travis Kelce","Kelce","1.100000023841858","1","6800","KC@PIT","KC","PIT","","","","",""
"28179-24920","RB","Devonta","Devonta Freeman","Freeman","6.5","1","6800","CAR@ATL","ATL","CAR","Q","Knee","","",""
"28179-6627","WR","Ted","Ted Ginn Jr.","Ginn Jr.","17.799999237060547","1","6800","CLE@NO","NO","CLE","","","","",""
"28179-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","42.279998779296875","1","6800","PHI@TB","TB","PHI","","","","",""
"28179-22037","RB","Lamar","Lamar Miller","Miller","11.399999618530273","1","6800","HOU@TEN","HOU","TEN","","","","",""
"28179-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","7.400000095367432","1","6800","DET@SF","DET","SF","","","","",""
"28179-6779","RB","LeSean","LeSean McCoy","McCoy","2.5999999046325684","1","6800","LAC@BUF","BUF","LAC","","","","",""
"28179-46882","RB","Jay","Jay Ajayi","Ajayi","20.200000762939453","1","6800","PHI@TB","PHI","TB","","","","",""
"28179-31716","QB","Dak","Dak Prescott","Prescott","8.699999809265137","1","6800","NYG@DAL","DAL","NYG","","","","",""
"28179-22994","QB","Case","Case Keenum","Keenum","22.15999984741211","1","6700","OAK@DEN","DEN","OAK","","","","",""
"28179-6703","RB","Adrian","Adrian Peterson","Peterson","21.600000381469727","1","6700","IND@WAS","WAS","IND","","","","",""
"28179-31394","WR","Jarvis","Jarvis Landry","Landry","14.100000381469727","1","6700","CLE@NO","CLE","NO","","","","",""
"28179-14377","QB","Tyrod","Tyrod Taylor","Taylor","24.579999923706055","1","6600","CLE@NO","CLE","NO","","","","",""
"28179-63589","QB","Sam","Sam Darnold","Darnold","14.819999694824219","1","6600","MIA@NYJ","NYJ","MIA","","","","",""
"28179-30989","RB","Kenyan","Kenyan Drake","Drake","8.199999809265137","1","6600","MIA@NYJ","MIA","NYJ","","","","",""
"28179-6714","QB","Joe","Joe Flacco","Flacco","21.739999771118164","1","6600","BAL@CIN","BAL","CIN","","","","",""
"28179-45859","QB","Derek","Derek Carr","Carr","9.220000267028809","1","6600","OAK@DEN","OAK","DEN","Q","General soreness","","",""
"28179-14339","RB","Dion","Dion Lewis","Lewis","19.5","1","6500","HOU@TEN","TEN","HOU","","","","",""
"28179-29780","TE","Zach","Zach Ertz","Ertz","7.300000190734863","1","6500","PHI@TB","PHI","TB","","","","",""
"28179-9392","WR","Michael","Michael Crabtree","Crabtree","11.300000190734863","1","6500","BAL@CIN","BAL","CIN","","","","",""
"28179-24849","QB","Jameis","Jameis Winston","Winston","16.35846182016226","13","6500","PHI@TB","TB","PHI","O","Suspension","","",""
"28179-21980","WR","Alshon","Alshon Jeffery","Jeffery","10.462499618530273","16","6500","PHI@TB","PHI","TB","O","Shoulder","","",""
"28179-34308","QB","Blake","Blake Bortles","Bortles","14.239999771118164","1","6500","NE@JAC","JAC","NE","","","","",""
"28179-6826","QB","Eli","Eli Manning","Manning","8.15999984741211","1","6500","NYG@DAL","NYG","DAL","","","","",""
"28179-7859","WR","Julian","Julian Edelman","Edelman","0","0","6500","NE@JAC","NE","JAC","O","Suspension","","",""
"28179-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","14.039999961853027","1","6500","SEA@CHI","CHI","SEA","","","","",""
"28179-54140","RB","Dalvin","Dalvin Cook","Cook","10.5","1","6500","MIN@GB","MIN","GB","","","","",""
"28179-28643","WR","Allen","Allen Robinson II","Robinson II","8.100000381469727","1","6500","SEA@CHI","CHI","SEA","","","","",""
"28179-29685","WR","Robert","Robert Woods","Woods","5.800000190734863","1","6500","ARI@LAR","LAR","ARI","","","","",""
"28179-54684","RB","Isaiah","Isaiah Crowell","Crowell","22.200000762939453","1","6400","MIA@NYJ","NYJ","MIA","","","","",""
"28179-26251","WR","Robby","Robby Anderson","Anderson","9.699999809265137","1","6400","MIA@NYJ","NYJ","MIA","","","","",""
"28179-27457","WR","Kenny","Kenny Stills","Stills","24.600000381469727","1","6400","MIA@NYJ","MIA","NYJ","","","","",""
"28179-42028","WR","Will","Will Fuller V","Fuller V","9.919999694824218","10","6300","HOU@TEN","HOU","TEN","Q","Hamstring","","",""
"28179-79970","WR","Cooper","Cooper Kupp","Kupp","15.300000190734863","1","6300","ARI@LAR","LAR","ARI","","","","",""
"28179-11414","QB","Sam","Sam Bradford","Bradford","3.819999933242798","1","6300","ARI@LAR","ARI","LAR","","","","",""
"28179-9371","RB","Marshawn","Marshawn Lynch","Lynch","11.899999618530273","1","6300","OAK@DEN","OAK","DEN","Q","Illness","","",""
"28179-25813","WR","Phillip","Phillip Dorsett","Dorsett","16.100000381469727","1","6300","NE@JAC","NE","JAC","","","","",""
"28179-45439","WR","Corey","Corey Davis","Davis","9.199999809265137","1","6300","HOU@TEN","TEN","HOU","","","","",""
