"PLAYER, TEAM POS"	OPP	PROJ	team_abbr
Jets D/ST D/ST	Mia	4.9	NYJ
Vikings D/ST D/ST	GB	6.4	Min
Ravens D/ST D/ST	Cin	6.1	Bal
Rams D/ST D/ST	Ari	7.6	LAR
Bears D/ST D/ST	Sea	5.9	Chi
Panthers D/ST D/ST	Atl	5.1	Car
Jaguars D/ST D/ST	NE	5.7	Jac
Broncos D/ST D/ST	Oak	5.7	Den
Dolphins D/ST D/ST	NYJ	7.1	Mia
Redskins D/ST D/ST	Ind	5.8	Wsh
Bengals D/ST D/ST	Bal	5.5	Cin
Browns D/ST D/ST	NO	5	Cle
Titans D/ST D/ST	Hou	7	Ten
Eagles D/ST D/ST	TB	6.4	Phi
Steelers D/ST D/ST	KC	6.4	Pit
Lions D/ST D/ST	SF	5.6	Det
Packers D/ST D/ST	Min	5.7	GB
Falcons D/ST D/ST	Car	6.4	Atl
Cowboys D/ST D/ST	NYG	6.5	Dal
Patriots D/ST D/ST	Jax	4.8	NE
Texans D/ST D/ST	Ten	7.2	Hou
Colts D/ST D/ST	Wsh	2.9	Ind
49ers D/ST D/ST	Det	4.9	SF
Chiefs D/ST D/ST	Pit	3.4	KC
Giants D/ST D/ST	Dal	5.8	NYG
Buccaneers D/ST D/ST	Phi	5.1	TB
Cardinals D/ST D/ST	LAR	5.4	Ari
Seahawks D/ST D/ST	Chi	6	Sea
Raiders D/ST D/ST	Den	4.9	Oak
Bills D/ST D/ST	LAC	4.5	Buf
Chargers D/ST D/ST	Buf	9.9	LAC
Saints D/ST D/ST	Cle	6.2	NO
